model,set,epoch,accuracy,avg_loss,f1
title_all,train ,1,0.8061259186,1.413200536,0.771037182
title_all,train ,2,0.8256080543,0.9321969879,0.8152082751
title_all,train ,3,0.8338174078,0.8319774176,0.8487559407
title_all,train ,4,0.8384453916,0.7843725629,0.831702544
title_all,train ,5,0.8416584809,0.7556142368,0.8582611127
title_all,train ,6,0.8438418241,0.7363032981,0.8065417948
title_all,train ,7,0.8455711711,0.7225832876,0.8479172491
title_all,train ,8,0.8466621742,0.7129887587,0.8867766285
title_all,val,1,0.8060340663,1.026619438,0.7320287019
title_all,val,2,0.8252726817,0.8687181589,0.811741683
title_all,val,3,0.8331926659,0.8056702341,0.8054794521
title_all,val,4,0.8375521946,0.7714735408,0.8572733203
title_all,val,5,0.8404787595,0.7495912149,0.8495759948
title_all,val,6,0.8423746016,0.7357220614,0.828049576
title_all,val,7,0.8438097757,0.7263266245,0.8370515329
title_all,val,8,0.8446628435,0.7212761962,0.8883235486
title_all,test,Nan,0.8447449485,0.7209762741,0.7941536204
title_ing,train ,1,0.9375163625,0.4391635489,0.9496785015
title_ing,train ,2,0.9417276634,0.2975884576,0.9440872239
title_ing,train ,3,0.9433860901,0.2743758292,0.9295499022
title_ing,train ,4,0.9445134354,0.262658453,0.9446463517
title_ing,train ,5,0.9453744451,0.2549892438,0.9594632373
title_ing,train ,6,0.9459946228,0.2492434868,0.9521945765
title_ing,train ,7,0.9465971858,0.2449652853,0.9376572547
title_ing,train ,8,0.9469367523,0.2418131525,0.9480011183
title_ing,val,1,0.9374467892,0.3207749814,0.9431180691
title_ing,val,2,0.9415761594,0.2832615297,0.9355512068
title_ing,val,3,0.9431479925,0.2687406297,0.9444227006
title_ing,val,4,0.9441747742,0.2602917931,0.9388127854
title_ing,val,5,0.9449328631,0.254316755,0.9506849315
title_ing,val,6,0.9454340241,0.2504527749,0.941161122
title_ing,val,7,0.9459152456,0.2476919184,0.9462491846
title_ing,val,8,0.9461543098,0.246272782,0.9458577952
title_ing,test,Nan,0.9461459978,0.2462315859,0.939334638
ing_dir,train ,1,0.8178760682,1.314202156,0.8152082751
ing_dir,train ,2,0.8353360026,0.8619472026,0.7520268381
ing_dir,train ,3,0.841950408,0.7775346505,0.8895722673
ing_dir,train ,4,0.8461763039,0.7358915882,0.8526698351
ing_dir,train ,5,0.8489980298,0.7097673456,0.9071847917
ing_dir,train ,6,0.851060974,0.691894025,0.883142298
ing_dir,train ,7,0.8526903647,0.6791193012,0.9080234834
ing_dir,train ,8,0.8537046186,0.6700832059,0.897120492
ing_dir,val,1,0.8177671419,0.9483798146,0.8229615134
ing_dir,val,2,0.8349004506,0.8084844351,0.8173515982
ing_dir,val,3,0.8412378074,0.7558777928,0.8242661448
ing_dir,val,4,0.8451645309,0.72501266,0.818134377
ing_dir,val,5,0.8476941466,0.7054047585,0.8709719504
ing_dir,val,6,0.8494504645,0.692579627,0.868754077
ing_dir,val,7,0.8507414365,0.6842675805,0.8474885845
ing_dir,val,8,0.8514898129,0.6798931956,0.8290932811
ing_dir,test,Nan,0.8515821362,0.6796034575,0.8628913894